date,id,content,username,filtered_tokens,preprocessed_text
2023-04-01 14:30:11+00:00,1642172512598478852,"Ukraine yamshutumu kiongozi wa Kanisa la Orthodox kuiunga mkono Urusi
https://t.co/0TLEOn3AFe https://t.co/6cGEA4pbsA",bbcswahili,"['ukrain', 'yamshutumu', 'kiongozi', 'kanisa', 'la', 'orthodox', 'kuiunga', 'mkono', 'urusi', 'https://t.co/0tleon3af', 'https://t.co/6cgea4pbsa']",ukrain yamshutumu kiongozi kanisa la orthodox kuiunga mkono urusi https://t.co/0tleon3af https://t.co/6cgea4pbsa
2023-04-01 14:00:16+00:00,1642164980689641474,"Iran inaashiria kutekeleza sheria ya kuvaa hijab kwa lazima
https://t.co/QfaQVsSU1S https://t.co/Pl1Gxo83Zf",bbcswahili,"['iran', 'inaashiria', 'kutekeleza', 'sheria', 'kuvaa', 'hijab', 'lazima', 'https://t.co/qfaqvssu1', 'https://t.co/pl1gxo83zf']",iran inaashiria kutekeleza sheria kuvaa hijab lazima https://t.co/qfaqvssu1 https://t.co/pl1gxo83zf
2023-04-01 13:30:07+00:00,1642157394003210248,"Je 'Siku ya Wajinga' duniani ilianzaje?
https://t.co/TdHwskzeec",bbcswahili,"['je', ""'siku"", ""wajinga'"", 'duniani', 'ilianzaje?', 'https://t.co/tdhwskzeec']",je 'siku wajinga' duniani ilianzaje? https://t.co/tdhwskzeec
2023-04-01 13:00:12+00:00,1642149866796097539,"Wanasayansi waelezea hatari za kifo cha ghafla wakati wa tendo la ndoa
https://t.co/vYMTyrSNiB",bbcswahili,"['wanasayansi', 'waelezea', 'hatari', 'kifo', 'cha', 'ghafla', 'wakati', 'tendo', 'la', 'ndoa', 'https://t.co/vymtyrsnib']",wanasayansi waelezea hatari kifo cha ghafla wakati tendo la ndoa https://t.co/vymtyrsnib
2023-04-01 12:30:13+00:00,1642142322744864769,"'Bado niko hai' Papa Francis atania wakati alipotoka hospitalini
https://t.co/kXhbfmCimv https://t.co/guNxpi1WTu",bbcswahili,"[""'bado"", 'niko', ""hai'"", 'papa', 'franci', 'atania', 'wakati', 'alipotoka', 'hospitalini', 'https://t.co/kxhbfmcimv', 'https://t.co/gunxpi1wtu']",'bado niko hai' papa franci atania wakati alipotoka hospitalini https://t.co/kxhbfmcimv https://t.co/gunxpi1wtu
2023-04-01 12:00:15+00:00,1642134780039905286,"Ramadhan 2023: Baadhi ya matukio muhimu katika historia ya Uislamu katika mwezi wa Ramadhan
https://t.co/ukI010HCSM",bbcswahili,"['ramadhan', '2023:', 'baadhi', 'matukio', 'muhimu', 'katika', 'historia', 'uislamu', 'katika', 'mwezi', 'ramadhan', 'https://t.co/uki010hcsm']",ramadhan 2023: baadhi matukio muhimu katika historia uislamu katika mwezi ramadhan https://t.co/uki010hcsm
2023-04-01 11:30:07+00:00,1642127197467975680,"Mhalifu sugu Kenya ahukumiwa kifongo cha miaka 310 gerezani
https://t.co/QAO2biGRl0 https://t.co/7d7fZMYCKO",bbcswahili,"['mhalifu', 'sugu', 'kenya', 'ahukumiwa', 'kifongo', 'cha', 'miaka', '310', 'gerezani', 'https://t.co/qao2bigrl0', 'https://t.co/7d7fzmycko']",mhalifu sugu kenya ahukumiwa kifongo cha miaka 310 gerezani https://t.co/qao2bigrl0 https://t.co/7d7fzmycko
2023-04-01 11:00:10+00:00,1642119658651242497,"Ndugu wenye utata mtandaoni wahamishiwa kifungo cha nyumbani
https://t.co/nezPtFgHOc https://t.co/wTFLUkbpUY",bbcswahili,"['ndugu', 'weny', 'utata', 'mtandaoni', 'wahamishiwa', 'kifungo', 'cha', 'nyumbani', 'https://t.co/nezptfghoc', 'https://t.co/wtflukbpuy']",ndugu weny utata mtandaoni wahamishiwa kifungo cha nyumbani https://t.co/nezptfghoc https://t.co/wtflukbpuy
2023-04-01 10:40:56+00:00,1642114820412456963,"Urusi yatwaa urais wa Baraza la Usalama la Umoja wa Mataifa licha ya hasira ya Ukraine
https://t.co/jSxr7pntSU https://t.co/qRFfbmTLoX",bbcswahili,"['urusi', 'yatwaa', 'urai', 'baraza', 'la', 'usalama', 'la', 'umoja', 'mataifa', 'licha', 'hasira', 'ukrain', 'https://t.co/jsxr7pntsu', 'https://t.co/qrffbmtlox']",urusi yatwaa urai baraza la usalama la umoja mataifa licha hasira ukrain https://t.co/jsxr7pntsu https://t.co/qrffbmtlox
2023-04-01 10:00:14+00:00,1642104575502045184,"Jinsi madaktari wa Italia walivyodanganya kuhusu 'ugonjwa wa kuambukiza' ili kuwaokoa Wayahudi dhidi ya Wanazi
https://t.co/Kb1UAssO77",bbcswahili,"['jinsi', 'madaktari', 'italia', 'walivyodanganya', 'kuhusu', ""'ugonjwa"", ""kuambukiza'"", 'ili', 'kuwaokoa', 'wayahudi', 'dhidi', 'wanazi', 'https://t.co/kb1uasso77']",jinsi madaktari italia walivyodanganya kuhusu 'ugonjwa kuambukiza' ili kuwaokoa wayahudi dhidi wanazi https://t.co/kb1uasso77
