date,id,content,username
2021-10-01 16:13:45+00:00,1443972413218332804,@citizentvkenya Following from Njoro Sub County #NipasheWikendi,AludaMika
2021-09-25 16:50:42+00:00,1441807383139737600,@citizentvkenya Following from Njoro Sub County #NipasheWikendi,AludaMika
2021-09-24 16:02:18+00:00,1441432817955704832,@citizentvkenya Watching live from Bungoma #NipasheWikendi,MeshackMusamali
2021-09-19 16:17:03+00:00,1439624589064249351,"Is it true that it's 2014 in Ethiopia?🤔🤔🤔🤔🤔
Anyone from Ethiopia here @EthiopiainKE 🇪🇹🇪🇹🇪🇹 
#TuendeleeNaSportPesa
#CitizenWeekend #NipasheWikendi 
@CitizenNipashe",MosesLekakeny
2021-09-11 16:53:24+00:00,1436734633559924744,Let me watch #NipasheWikendi for some wisdom from Bi Msafwari! Game ya Chelsea ni game ndogo,Hussein_Mahadh
2021-09-04 17:01:35+00:00,1434199977643888646,"@citizentvkenya Watching live from Kianyabao Nyamira county.
#nipashewikendi",HesbornOscar
2021-09-04 16:29:46+00:00,1434191970017189892,@citizentvkenya @citizentvkenya @LuluHassan from mogweko watching u live good work #NipasheWikendi,douglasnyamwea2
2021-08-28 16:21:15+00:00,1431653112603893762,@citizentvkenya @RashidAbdalla Following from Njoro Sub County #NipasheWikendi,AludaMika
2021-08-28 16:14:32+00:00,1431651424073621504,"@citizentvkenya @LuluHassan @RashidAbdalla Watching live from Kianyabao Nyamira county.tiba ya mwanaume ni mwanamke kumhesimu bwanake
#nipashewikendi",HesbornOscar
2021-08-15 16:30:42+00:00,1426944448735420416,"@citizentvkenya @LuluHassan @RashidAbdalla #NipasheWikendi serikali inafaa kuweka mashart, kwa mfano ni nini unaedea Uko. Kama ni maneno ya house help au kutafuta vibarua unakataswa .ni Eliud Anampiu from Meru , mbaranga",eliud_kirimi
2021-08-15 16:07:57+00:00,1426938723074256897,"Government has failed! Kenyans have failed themselves! GoK should address the issue of Kenyans workers in the Emirates. 
Kenyans should refrain from traveling to Arab states since there's no agreement between Kenya and these states.
#NipasheWikendi",DreKariuki
2021-08-15 16:04:52+00:00,1426937945290952706,"#NipasheWikendi 
Kenya has many job opportunities, going to Saudi Arabia is a personal choice.... people should value their lives.
Mugeshe from Kitale.",macycerah
2021-08-14 17:00:13+00:00,1426589488743165955,@Gracetoroitich1 @LuluHassan @RashidAbdalla @citizentvkenya From moisbridge kapkoi streaming live.. Am in love with the conversation @RashidAbdalla @LuluHassan @citizentvkenya #NipasheWikendi,LoyalAlbert2
2021-08-08 16:13:22+00:00,1424403371147018245,"@citizentvkenya Watching Citizen News from Endebess kenya ,, am happy beyond  ,, kongole team Kenya #nipashewikendi",Chesongol_J
2021-08-07 16:53:29+00:00,1424051078291771395,"A certain Governor from Coast region made a certain Media personality loose her marriage with his celebrated media husband days after grand wedding, up to now she has never settled 😭😭😭😭. Ogopa Mipango ya kando  #NipasheWikendi",OnyimboSostine
2021-08-01 16:20:15+00:00,1421868389744713732,@citizentvkenya COVID-19 in Kenya got some funny trend but anyway I'm a commoner with no say but let's now focus on how Kenya is going to recover from this economic crisis brought by Corruption during this pandemic #nipashewikendi @LuluHassan,Activist_M
2021-07-31 16:28:02+00:00,1421507958471540740,"@citizentvkenya #nipashewikendi 
Just following from Ruiru",saradan005
2021-07-30 16:29:08+00:00,1421145847228731397,"@citizentvkenya @MKapombe Kulapua ni ku-overlap am watching from Koibaben, Marakwet #LongaLonga #NipasheWikendi",chemaaiz_korir
2021-07-24 16:20:06+00:00,1418969248479784965,@citizentvkenya From sikawa kilgoris mwihisi akiruka wahisi wezake lasima mmoja umia #Nipashewikendi,LemisoYiamat2
2021-07-18 16:24:48+00:00,1416796104407011329,#NipasheWikendi from ojola kisumu west sub county mimi Wamempigia mamake bibi wangu juu ya deni ya mshwari 3500ksh Branch ni 850 @citizentvkenya @LuluHassan,JahcobOtiende
2021-07-17 16:57:49+00:00,1416442024841129990,@citizentvkenya @RashidAbdalla @LuluHassan From moisbridge kapkoi watching you live show guys am in love with this conversations #NipasheWikendi @RashidAbdalla @LuluHassan waamke wa pili ufichwa kama bhangi juu kutakuweko maelewano.. 😊 😊 😊,LoyalAlbert2
2021-07-17 16:52:59+00:00,1416440809839337475,@citizentvkenya @RashidAbdalla @LuluHassan From sikawa siwezi julisha mke siri bibi wa nje ata nikiowaa astukie tu nimemleta #Nipashewikendi,LemisoYiamat2
2021-07-17 16:03:18+00:00,1416428306476511242,"@citizentvkenya Sioni shida lolote Bibi mdogo atambulishwa, Bora Ni real deal 🤣🤣🤣🤣 isikuwa huyu leo, kesho mwingine. #NipasheWikendi from Bomet County, Kapsang'aru-Mutarakwa areas",RobaaKoech001
2021-07-17 16:01:12+00:00,1416427778090676231,"@citizentvkenya Haahaa 🤣🤣🤣🤣 leo mmeweza, Ni muhimu nyumba ndogo itambulishwe kwa nyumba kubwa ndio bwana aendelee kuheshimiwa na asionekane kama mkora.
Following the broadcast from Bomet County, Kapsang'aru-Mutarakwa areas #NipasheWikendi",RobaaKoech001
